ds,y
1/31/22,12.54
4/25/19,14.52
3/7/22,12.09
6/30/23,6.09
7/24/21,13.91
7/30/23,6.18
10/12/21,13.5
7/8/21,13.81
9/25/20,14.33
11/3/20,14.29
11/26/19,14.66
7/6/22,10.32
11/24/22,5.78
8/25/20,14.48
5/11/22,11.08
5/22/19,14.3
8/16/22,9.88
3/13/23,7.18
1/4/23,7.53
8/23/23,6.15
2/1/21,14.19
2/8/22,12.54
7/7/22,10.17
7/10/19,14.35
1/3/22,13
3/16/22,11.84
1/25/21,14.24
1/5/19,14.44
3/25/23,6.9
1/28/20,14.74
5/26/23,6.22
6/10/21,14.01
1/30/23,5.56
3/29/23,6.85
4/7/22,11.5
2/7/23,7.01
9/8/23,5.7
2/20/21,14.2
5/13/21,14.05
10/4/22,8.74
11/18/21,13.29
4/5/19,14.52
7/20/20,14.38
4/21/23,5.64
10/8/22,8.98
12/10/21,12.77
1/13/20,14.69
3/1/22,12.26
10/15/19,14.65
9/13/20,14.44
6/2/23,6.27
8/9/21,13.92
6/12/19,14.49
1/1/19,14.29
8/4/20,14.43
6/26/23,6.36
8/22/21,13.88
4/8/21,14.2
8/17/23,6.12
3/17/21,13.88
1/26/19,14.83
1/18/21,14.13
6/5/19,14.32
12/22/21,12.69
4/18/23,5.22
9/27/23,6.02
11/4/22,8.18
6/4/19,14.46
9/22/21,13.53
1/27/23,7.2
7/22/22,9.84
8/6/20,14.39
8/3/23,5.89
10/18/22,8.66
4/12/22,11.59
3/25/22,11.84
2/10/19,14.66
4/2/21,14.18
2/4/19,14.4
10/10/20,14.48
8/16/23,6.16
7/23/21,13.91
6/26/19,14.16
9/15/23,5.87
7/23/19,14.36
4/30/22,11.4
3/1/20,14.44
3/7/23,5.56
6/23/23,6.02
11/23/19,14.65
11/12/19,14.59
4/8/23,6.62
9/4/22,9.4
8/13/22,9.79
10/16/22,7.23
1/25/23,6.91
2/12/21,14.39
10/6/19,14.6
1/31/23,5.65
6/6/20,14.24
5/19/23,6.43
3/22/19,14.65
9/1/23,5.82
5/20/19,14.32
11/26/21,12.74
1/17/20,14.59
3/23/21,14.26
9/26/21,13.72
2/5/20,14.57
11/23/20,14.27
12/15/18,14.17
8/6/23,5.59
10/17/21,13.59
9/6/22,9.48
6/24/19,14.46
12/27/21,13
12/20/20,14.25
3/30/19,14.57
10/24/21,13.62
9/25/22,9.39
4/3/21,14.18
4/13/21,14.17
3/28/22,11.84
6/4/21,13.86
9/1/19,14.25
8/5/21,13.76
1/23/23,7.07
8/31/21,13.67
5/16/19,14.41
10/4/19,14.54
11/5/21,13.51
8/21/23,6.16
5/18/20,14.64
9/30/21,13.43
8/8/20,14.44
8/12/23,6.21
8/18/22,9.66
12/17/19,14.62
9/16/22,8.99
