ds,y
11/19/18,362.31
11/20/18,383
11/21/18,389.24
11/23/18,409.93
11/24/18,411.07
11/25/18,406.82
11/26/18,405.96
11/27/18,407.95
11/28/18,405.96
11/29/18,405.96
11/30/18,404.83
12/1/18,405.11
12/2/18,399.44
12/3/18,390.66
12/4/18,396.89
12/5/18,395.76
12/6/18,396.04
12/7/18,387.25
12/8/18,390.09
12/9/18,393.49
12/10/18,392.64
12/11/18,394.06
12/12/18,405.11
12/13/18,402.56
12/14/18,392.64
12/15/18,401.71
12/16/18,394.34
12/17/18,397.46
12/18/18,400.58
12/19/18,398.03
12/20/18,397.18
12/21/18,413.05
12/22/18,460.4
12/23/18,407.67
12/24/18,401.43
12/26/18,411.92
12/27/18,415.6
12/28/18,404.55
12/29/18,408.8
12/30/18,402
12/31/18,412.2
1/1/19,405.11
1/2/19,407.1
1/3/19,403.41
1/4/19,404.26
1/5/19,409.37
1/6/19,409.37
1/7/19,406.53
1/8/19,403.7
1/9/19,396.61
1/10/19,400.29
1/11/19,405.4
1/12/19,414.75
1/13/19,414.75
1/14/19,415.32
1/15/19,417.3
1/16/19,411.35
1/17/19,416.17
1/18/19,415.6
1/19/19,416.17
1/20/19,418.44
1/21/19,413.62
1/22/19,419.29
1/23/19,412.2
1/24/19,415.89
1/25/19,416.45
1/26/19,420.42
1/27/19,416.74
1/28/19,410.5
1/29/19,410.5
1/30/19,411.63
1/31/19,411.07
2/1/19,435.45
2/2/19,418.44
2/3/19,410.22
2/4/19,408.23
2/5/19,412.2
2/6/19,407.38
2/7/19,411.35
2/8/19,413.34
2/9/19,416.45
2/10/19,415.6
2/11/19,412.2
2/12/19,416.74
2/13/19,415.6
2/14/19,409.65
2/15/19,408.8
2/16/19,402.85
2/17/19,415.32
2/18/19,409.93
2/19/19,410.78
2/20/19,417.02
2/21/19,417.59
2/22/19,414.75
2/23/19,417.87
2/24/19,418.72
2/25/19,415.6
2/26/19,410.78
2/27/19,410.22
2/28/19,416.45
3/1/19,411.63
3/2/19,410.5
3/3/19,412.77
3/4/19,409.08
3/5/19,407.67
3/6/19,410.78
3/7/19,409.37
3/8/19,410.5
3/9/19,415.6
3/10/19,421.56
3/11/19,415.04
3/12/19,409.93
