Date, Total 
10/29/2022," $9,639.00 "
10/31/2022," $1,750.00 "
10/31/2022," $10,659.00 "
11/7/2022," $5,250.00 "
11/8/2022," $6,604.50 "
11/8/2022," $1,320.00 "
11/8/2022," $2,793.00 "
11/8/2022," $2,323.57 "
11/8/2022, $850.00 
11/8/2022," $4,132.50 "
11/8/2022," $1,995.00 "
11/8/2022," $3,267.00 "
11/8/2022," $3,267.00 "
11/8/2022," $5,292.00 "
11/8/2022," $4,819.50 "
11/8/2022," $2,850.00 "
11/8/2022," $6,094.50 "
11/9/2022, $525.00 
11/9/2022," $3,990.00 "
11/9/2022," $4,819.50 "
11/9/2022, $875.00 
11/9/2022, $875.00 
11/10/2022," $3,150.00 "
11/10/2022," $4,819.50 "
11/10/2022," $1,710.00 "
11/10/2022," $1,710.00 "
11/10/2022," $3,420.00 "
11/15/2022," $3,249.00 "
11/15/2022," $1,377.00 "
11/15/2022," $2,750.00 "
11/15/2022," $1,710.00 "
11/15/2022," $2,679.00 "
11/15/2022," $1,624.50 "
11/15/2022," $5,529.00 "
11/16/2022," $19,813.50 "
11/16/2022," $1,710.00 "
11/16/2022," $2,820.00 "
11/16/2022," $4,819.50 "
11/16/2022," $4,819.50 "
11/17/2022, $-   
11/17/2022," $1,710.00 "
11/17/2022," $39,244.50 "
11/17/2022," $1,824.00 "
11/17/2022, $175.00 
11/18/2022," $1,624.50 "
11/21/2022, $-   
11/22/2022," $2,593.50 "
11/23/2022," $1,800.00 "
11/25/2022," $2,308.50 "
11/25/2022," $3,952.50 "
11/28/2022," $6,247.50 "
11/28/2022," $11,322.00 "
11/28/2022," $2,500.00 "
11/28/2022," $2,500.00 "
11/28/2022," $4,284.00 "
11/28/2022," $2,500.00 "
11/28/2022," $8,568.00 "
11/28/2022," $7,038.00 "
11/28/2022," $5,985.00 "
11/29/2022," $1,425.00 "
11/29/2022," $4,474.50 "
11/29/2022," $1,624.50 "
11/30/2022," $5,454.00 "
12/1/2022," $18,330.00 "
12/1/2022," $3,420.00 "
12/1/2022," $5,253.00 "
12/1/2022, $900.00 
12/1/2022," $3,264.00 "
12/6/2022," $1,425.00 "
12/6/2022, $525.00 
12/6/2022," $4,819.50 "
12/6/2022," $4,819.50 "
12/6/2022," $4,819.50 "
12/6/2022," $1,824.00 "
12/7/2022," $1,938.00 "
12/7/2022," $4,819.50 "
12/7/2022, $700.00 
12/7/2022," $13,200.00 "
12/7/2022," $2,308.50 "
12/7/2022, $175.00 
12/8/2022, $-   
12/9/2022," $4,819.50 "
12/9/2022, $-   
12/13/2022," $1,624.50 "
12/13/2022, $600.00 
12/13/2022," $3,420.00 "
12/14/2022," $1,400.00 "
12/14/2022," $1,400.00 "
12/15/2022," $7,581.00 "
12/16/2022, $900.00 
12/16/2022," $10,149.00 "
12/16/2022, $350.00 
12/16/2022, $700.00 
12/19/2022," $4,819.50 "
12/19/2022," $4,819.50 "
12/19/2022, $700.00 
12/19/2022, $700.00 
12/19/2022," $10,300.00 "
12/19/2022," $14,458.50 "
12/20/2022," $2,100.00 "
12/21/2022," $9,639.00 "
12/21/2022," $5,700.00 "
12/21/2022," $4,560.00 "
12/21/2022," $3,135.00 "
12/21/2022," $8,772.00 "
12/22/2022," $4,125.00 "
12/23/2022," $49,572.00 "
12/24/2022," $4,617.00 "
12/24/2022, $700.00 
12/26/2022," $1,400.00 "
12/28/2022," $6,196.50 "
12/28/2022," $1,400.00 "
12/28/2022," $6,196.50 "
12/28/2022," $1,400.00 "
12/28/2022," $3,990.00 "
12/29/2022," $6,196.50 "
12/29/2022," $2,456.00 "
12/29/2022," $27,846.00 "
12/30/2022, $700.00 
12/30/2022," $7,290.00 "
12/30/2022," $29,121.00 "
12/31/2022," $3,267.00 "
1/1/2023, $350.00 
1/2/2023, $-   
1/3/2023, $-   
1/5/2023," $10,260.00 "
1/5/2023," $1,530.00 "
1/6/2023, $-   
1/9/2023," $3,448.50 "
1/9/2023," $4,421.08 "
1/9/2023," $24,531.00 "
1/9/2023," $12,067.88 "
1/10/2023," $2,275.00 "
1/10/2023, $600.00 
1/10/2023," $3,456.00 "
1/10/2023," $1,632.00 "
1/10/2023, $700.00 
1/10/2023," $8,517.00 "
1/10/2023," $21,343.50 "
1/10/2023," $25,500.00 "
1/11/2023," $3,163.50 "
1/11/2023," $1,320.00 "
1/11/2023," $1,375.00 "
1/11/2023," $6,324.00 "
1/11/2023," $4,482.00 "
1/11/2023," $2,700.00 "
1/12/2023," $2,911.80 "
1/12/2023," $13,897.50 "
1/12/2023," $8,670.00 "
1/12/2023," $5,380.50 "
1/12/2023," $7,191.00 "
1/12/2023," $1,050.00 "
1/12/2023," $3,500.00 "
1/12/2023," $10,850.00 "
1/13/2023, $350.00 
1/13/2023," $5,329.50 "
1/13/2023," $3,500.00 "
1/14/2023," $1,575.00 "
1/16/2023," $15,300.00 "
1/16/2023," $5,839.50 "
1/16/2023, $700.00 
1/16/2023, $900.00 
